"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/pages/publications/105031627095?origin=resultslist","Distributed energy resources; load-altering attack; locational marginal price; TSO-DSO coordination","Cyber Physical System; Distributed energy; Electric power transmission; Energy resources; Network security; Observability; Transmissions; Cyber-physical threats; Distributed Energy Resources; Distribution systems; Grid operation; Load-altering attack; Locational marginal prices; Operator distributions; System operator; Transmission system operator-distribution system operator coordination; Transmission system operators; Commerce"
"https://www.scopus.com/pages/publications/105046788272?origin=resultslist","Distributed generation; faulty user localization; feeder clustering; residual current; semi-invariants; stochastic power flow","Computational efficiency; Electric load flow; Electric network analysis; Electric power system protection; Electric wiring; Integration; Monte Carlo methods; Power distribution networks; Stochastic models; Stochastic systems; Wind power; Clusterings; Faulty user localization; Feeder clustering; High-order; Power flows; Residual current; Semi-invariant; Stochastic power flow; Stochastics; User localization; Distributed power generation"
"https://www.scopus.com/pages/publications/105024774369?origin=resultslist","Modified value at risk; Multi-objective optimization; Portfolio risk analysis; Risk averse; Stock portfolio",""
"https://www.scopus.com/pages/publications/105045169981?origin=resultslist","Digital twin; Physics-informed neural network; Temperature prediction; Thermal-mechanical coupling model","Degrees of freedom (mechanics); Digital twin; Heat losses; Heat treating furnaces; Heating furnaces; Industrial furnaces; Industrial heating; Numerical models; Refractory materials; Roofs; Thermal modeling; Coupled models; Coupling models; Dirichlet boundary; Neural-networks; Physic-informed neural network; Reheating furnaces; Temperature prediction; Thermal-mechanical coupling; Thermal-mechanical coupling model; Thermo-mechanical coupled; Decision support systems; Sensitivity analysis; Uncertainty analysis"
"https://www.scopus.com/pages/publications/105048838804?origin=resultslist","Converter control; Current limiting; Grid-forming converters; Power angle characteristic; Transient stability","Control system stability; Controllers; Dynamics; Electric power system control; Electric power system stability; Power control; Power converters; Power quality; Renewable energy; Synchronization; Transient analysis; Transient stability; Converter controls; Current limiting; Grid-forming converter; Large disturbance; Power; Power angle; Power angle characteristic; Renewable energy penetrations; Synchronization dynamics; Transient stability analysis; Stability criteria"
"https://www.scopus.com/pages/publications/105047645105?origin=resultslist","","alternative energy; energy resource; optimization; power generation; smart grid; standardization; awareness; cold; decision support system; electric potential; energy; energy resource; human; renewable energy; review; standardization; therapy; workflow"
"https://www.scopus.com/pages/publications/105049056183?origin=resultslist","Global sensitivity analysis; hybrid AC-DC system; probabilistic carbon flow; renewable energy","Carbon; Hybrid power; Probability distributions; Renewable energy; Sensitivity analysis; Uncertainty analysis; AC/DC power systems; Carbon flow; Chaos expansions; Flow modelling; Global sensitivity analysis; Hybrid AC/DC systems; Polynomial chaos; Probabilistic carbon flow; Probabilistics; Renewable energies; Monte Carlo methods"
"https://www.scopus.com/pages/publications/105042074412?origin=resultslist","Dual-cone flowmeter; Machine learning; Multiphase flow rate prediction; Partial least squares (PLS); Support vector regression (SVR); Wet gas flow measurement","Cones; Flow measurement; Flow of gases; Flow rate; Gas fuel measurement; Gas industry; Gas meters; Gases; Least squares approximations; Pressure measurement; Support vector regression; Two phase flow; Dual cones; Dual-cone flowmeter; Gas flow measurements; Machine-learning; Multiphase flow rate prediction; Multiphases; Partial least square; Partial least-squares; Rate predictions; Support vector regression; Support vector regressions; Wet gas flow measurement; Wet gas flows; Learning systems"
"https://www.scopus.com/pages/publications/105042369356?origin=resultslist","Automated loading mobile concrete mixer; Power matching; Shoveling coordination; Torque optimization; Working condition recognition","Concretes; Constrained optimization; Construction equipment; Energy efficiency; Fuel economy; Loading; Mixers (machinery); Multiobjective optimization; Pumps; Automated loading; Automated loading mobile concrete mixer; Condition; Condition recognition; Loading types; Operational phasis; Power matching; Shoveling coordination; Torque optimization; Working condition recognition; Automation"
"https://www.scopus.com/pages/publications/105046013745?origin=resultslist","Distributed energy resources; Dynamic line rating; Gaussian copula; Medium-voltage distribution networks; MOEA/D; Probabilistic power flow; Risk-constrained hosting capacity","Distributed energy; Distributed power generation; Energy resources; Probability distributions; Risk assessment; Voltage distribution measurement; Distributed Energy Resources; Dynamic line rating; Gaussian copula; Hosting capacity; Line ratings; Medium-voltage distribution networks; MOEA/D; Probabilistic power flow; Renewables; Risk-constrained hosting capacity; Uncertainty analysis"
